dataset.id,dataset.name,dataset.license_title,dataset.license_id,dataset.isopen,dataset.tracking_summary.total,dataset.tracking_summary.recent,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url,resource_tracking_summary_total,resource_tracking_summary_recent
516894e6-454d-44de-ba7f-2095806cf28b,arthroscopy,Creative Commons Non-Commercial (Any),cc-nc,False,0,0,d4acb726-8cf2-48a7-a5b9-e01a99a02ae6,Gnoss Ontology,2012-09-25T10:59:38.102355,2012-09-26T06:11:28.085175,meta/owl,http://gnoss.com/gnoss.owl,7,3
516894e6-454d-44de-ba7f-2095806cf28b,arthroscopy,Creative Commons Non-Commercial (Any),cc-nc,False,0,0,af6bfd11-7aba-4588-a683-567049f3b77d,voiD description,2012-09-25T10:59:38.102366,2012-09-26T06:11:28.085175,meta/void,http://museos.gnoss.com/voidArtroscopyGNOSS.n3,0,0
7813023b-7613-453a-8172-9bf8beb86970,arts-council-funding,Creative Commons Attribution Share-Alike,cc-by-sa,True,17,3,b8b7fc30-b499-4757-b0fa-89fedd1337c8,n/a,n/a,2010-12-05T19:16:32.965106,XML,http://austgate.co.uk/development/funding.zip,13,3
8e390c25-dedf-4e05-a10c-21155731afa3,arts-engagement-2013-q4-uk,License Not Specified,notspecified,False,0,0,01ff09b6-f83a-4886-8c3c-1921843562c4,arts-engagement-2013-q4-uk,2013-08-10T05:22:02.236302,2013-08-10T10:22:02.187829,n/a,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/209240/Y8_Q4_Figures_Arts.xls,0,0
2cab4633-95b9-4010-966e-47c66399a7af,artsentertainmentrecreationenergyuseghgemissions,License Not Specified,notspecified,False,17,3,339af17d-579b-4dc3-b98b-255df040fe2a,n/a,n/a,2011-12-15T19:00:20.124469,XLS,http://oee.nrcan.gc.ca/corporate/statistics/neud/dpa/tablestrends2/com_ca_30_e.xls,5,3
2fb01b40-d76b-40ad-850f-9b3a7ee05414,asdfasdfasdf,License Not Specified,notspecified,False,0,0,95c35afc-4105-4fc1-95d9-801abc3906d1,adsfasdf,2013-09-30T04:11:10.912844,2013-09-30T09:11:10.857644,n/a,http://datos.json,0,0
3cdaea02-4af5-43d3-b532-b11ff9c0f5b7,asesor-t-cnico-pedag-gico-programa-gobierno-de-mexico,n/a,n/a,False,0,0,9efc000f-a04c-4a3a-b8f7-cd6103556c9d,Tema Asesor tcnico pedaggico,2012-11-10T09:42:32.898320,2012-11-10T15:43:10.224434,do,http://mapas.gob.mx/mapa.do?origen=temaUbicacion&eje=3&tema=69&menu=1,0,0
2859a35d-7f7e-462b-961b-0c28dcee338a,ashe,ukcrown,ukcrown,False,31,3,27101482-e6cf-4412-8fda-3faa0a95b6df,n/a,n/a,2010-02-08T12:19:32.751371,PDF,http://www.statistics.gov.uk/StatBase/Product.asp?vlnk=13101,9,3
98837c1d-a667-4ff8-993f-ddd8729d7236,a-short-descriptive-title-for-the-dataset,n/a,n/a,False,23,7,0fa33ff7-f422-49c4-a787-1588628f5112,2011-12-14T210515/2farms-by-farm-size-and-farm-type-ANZSIC96-07.xls,n/a,2011-12-14T21:06:04.939819,application/vnd.ms-excel,https://commondatastorage.googleapis.com/ckannet-storage/2011-12-14T210515/2farms-by-farm-size-and-farm-type-ANZSIC96-07.xls,7,3
ff891101-0bea-4536-9e5d-5a10352467be,a-short-descriptive-title-for-the-datasetstudy-on-coke-dry-quenching-production-and-recycling,Other (Open),other-open,True,0,0,2575bc99-04ca-48e7-a7d3-0876010bb4b9,Study on Coke Dry Quenching Production and Recycling of Coking Wastewater,2013-05-15T04:26:00.050220,2013-05-15T09:26:01.845899,aspx,http://www.ivypub.org/fes/paperInfo.aspx?ID=2610,0,0
