dataset.id,dataset.name,dataset.license_title,dataset.license_id,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url
a3f05cfa-4524-4007-9d03-db2475e04346,fema-national-flood-hazard-layer,License Not Specified,notspecified,983c8301-d451-49e7-9fdb-6de04139cf71,FEMA Flood Layer for JRSP1,2014-11-12T20:31:08.013770,2014-11-12T20:31:07.988935,wms,|https://hazards.fema.gov/gis/nfhl/services/public/NFHLWMS/MapServer/WMSServer?SERVICE=WMS&REQUEST=GetMap&FORMAT=image/png&TRANSPARENT=TRUE&STYLES=&VERSION=1.3.0&LAYERS=4&WIDTH=418&HEIGHT=400&CRS=EPSG:102100&BBOX=-8600583.745234951,5041259.812911151,-8598586.82787095,5043170.738618331|
f863b398-03f7-443a-803b-5734cf8b356b,fhddfhdfhdhdfh,Creative Commons Attribution Share-Alike,cc-by-sa,582f5ec4-ad6f-4c87-ad17-090829702ef2,,2014-07-22T08:57:49.100303,2014-08-18T07:59:34.165611,png,http://demo.ckan.org/dataset/f863b398-03f7-443a-803b-5734cf8b356b/resource/582f5ec4-ad6f-4c87-ad17-090829702ef2/download/gradient.png
f25aa502-4a28-45c3-ba66-b9469783e46c,ficdemoprjir,License Not Specified,notspecified,be1d7a1b-6587-4394-8b7c-017d535049a9,fdas,2014-09-01T15:07:54.624929,2014-09-04T10:03:38.604559,CSV,http://demo.ckan.org/dataset/f25aa502-4a28-45c3-ba66-b9469783e46c/resource/be1d7a1b-6587-4394-8b7c-017d535049a9/download/publicationanonymciradirprjdcattravauxnormalisationdatasetdesdatsets3light.txt
f25aa502-4a28-45c3-ba66-b9469783e46c,ficdemoprjir,License Not Specified,notspecified,ce97c155-5130-4e4d-aaf7-d0a34a299c15,,2014-09-02T14:10:32.188445,2014-10-09T07:18:31.670421,CSV,http://demo.ckan.org/dataset/f25aa502-4a28-45c3-ba66-b9469783e46c/resource/ce97c155-5130-4e4d-aaf7-d0a34a299c15/download/publicationanonymciradirprjdcattravauxnormalisationdatasetdesdatsets3light.txt
243e6fec-1725-46a6-b5bc-18907bd9c2b5,fiche-eculture,Creative Commons Non-Commercial (Any),cc-nc,e26fcc18-084e-42c4-a66b-0ae2cc24c9ea,,2014-09-12T13:51:27.864311,2014-09-12T13:51:33.676017,,http://demo.ckan.org/dataset/243e6fec-1725-46a6-b5bc-18907bd9c2b5/resource/e26fcc18-084e-42c4-a66b-0ae2cc24c9ea/download/fichesecultureecrireensemble.pdf
12bf5b1d-0fe9-43fc-82c0-093e83711ab7,fiddler-happy-new-year-resources,,,c1ea2dbf-0477-4f29-b238-34b24dc93d4a,You must add at least one data resource,2015-01-02T03:05:44.423060,2015-01-02T03:05:44.082604,,http://docs.ckan.org/en/ckan-2.2/api.html#module-ckan.logic.action.get
631ed621-7a2e-4734-ade3-ad6e552ad405,fiddler-happy-new-year-resources2,,,c0f0782e-278c-4a1b-b205-753d708ece9b,You must add at least one data resource,2015-01-02T05:20:17.749705,2015-01-02T05:20:17.675397,,http://docs.ckan.org/en/ckan-2.2/api.html#module-ckan.logic.action.get
44605fcf-ef46-42bd-85f1-866e516d8433,fiddler-happy-new-year-resources3,,,9836e378-8b38-4499-aa2b-bb2571db7639,You must add at least one data resource,2015-01-02T05:21:13.462796,2015-01-02T05:21:13.435219,,http://docs.ckan.org/en/ckan-2.2/api.html#module-ckan.logic.action.get
400b40c5-8fd0-4c13-8920-af1cb931caf0,fiddler-happy-new-year-resources4,,,91267732-4b1f-420a-bbb6-59f8c860c6ec,You must add at least one data resource,2015-01-02T05:23:01.342774,2015-01-02T05:23:01.313105,,http://docs.ckan.org/en/ckan-2.2/api.html#module-ckan.logic.action.get
86983638-4785-4541-a7ab-eb32b3c480f2,filling,License Not Specified,notspecified,452bdbf6-d5b7-41bf-9551-1bfed4e01fea,Beirut,2014-09-16T09:25:09.596576,2014-09-16T09:26:03.063738,jpeg,http://demo.ckan.org/dataset/86983638-4785-4541-a7ab-eb32b3c480f2/resource/452bdbf6-d5b7-41bf-9551-1bfed4e01fea/download/20140611youngfilmmakersbeirut1280x720.jpg
