Property,Sum - Count
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#idSite,124116
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#name,124116
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#sourceDb,124116
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#hasDesignation,124112
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#area,124109
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#countryCode,123975
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#inCountry,123975
http://www.nlm.nih.gov/mesh/2006#activeMeSHYear,122379
http://worldbank.270a.info/property/guarantor,121932
http://xmlns.com/foaf/0.1/topic,120675
http://worldbank.270a.info/property/due-to-ibrd,118413
http://worldbank.270a.info/property/interest-rate,118413
http://worldbank.270a.info/property/loan-type,118413
http://worldbank.270a.info/property/loans-held,118413
http://worldbank.270a.info/property/repaid-to-ibrd,118413
http://www.w3.org/2006/03/wn/wn20/schema/gloss,115424
http://www.w3.org/2006/03/wn/wn20/schema/synsetId,115424
http://govwild.org/ontology/commitmentPositionKey,114636
http://www.w3.org/2004/02/skos/core#editorialNote,112386
http://iflastandards.info/ns/isbd/elements/P1039,109597
http://rdfs.org/sioc/ns#has_creator,108806
http://rdfs.org/sioc/ns#created_at,108681
http://purl.org/dc/terms/modified,108002
http://www.w3.org/2004/02/skos/core#relatedMatch,106987
http://xmlns.com/foaf/0.1/givenname,105873
http://www.w3.org/2008/05/skos-xl#literalForm,104294
http://govwild.org/ontology/nonFusedEntity,103427
http://purl.org/dc/terms/created,102789
http://www.fer.hr/projekt#teachedInProgrammeTerm,102660
http://govwild.org/ontology/annualRevenue,100029
http://www.fer.hr/projekt#containtsCourseInstance,99827
http://www.fer.hr/projekt#inGrouping,99827
http://rdfs.org/sioc/ns#content,98361
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#inNutsRegion,96856
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#nutsCode,96856
http://worldbank.270a.info/property/credits-held,96780
http://worldbank.270a.info/property/due-to-ida,96780
http://worldbank.270a.info/property/repaid-to-ida,96780
http://worldbank.270a.info/property/service-charge-rate,96780
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#iucnat,96760
http://www.rdfabout.com/rdf/schema/ussec/officerTitle,96624
http://govwild.org/ontology/form,95325
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#designationDate,95013
http://www.w3.org/2006/03/wn/wn20/schema/hyponymOf,94842
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#nationalCode,91002
http://www.fer.hr/projekt#academicYear,89431
http://govwild.org/ontology/position,89106
http://www.ravendesk.org/univ-ont#hasManifestation,88937
http://www.ravendesk.org/univ-ont#instanceOfCourse,88937
http://data.linkedmdb.org/resource/movie/filmid,85620
http://education.data.gov.uk/def/school/address2,85406
http://education.data.gov.uk/def/school/region,83816
http://purl.org/dc/terms/hasPart,83798
http://purl.org/dc/terms/references,83256
http://rdfs.org/sioc/ns#has_reply,82565
http://eunis.eea.europa.eu/rdf/species-schema.rdf#hasSynonym,81960
http://eunis.eea.europa.eu/rdf/species-schema.rdf#synonymFor,81960
http://eprints.org/ontology/hasFile,81608
http://www.w3.org/2003/01/geo/wgs84_pos#alt,80803
http://www.w3.org/2004/02/skos/core#hiddenLabel,79493
http://www.w3.org/2006/vcard/ns#tel,77444
http://statistics.data.gov.uk/def/administrative-geography/district,75819
http://data.linkedmdb.org/resource/movie/initial_release_date,74111
http://eprints.org/ontology/hasDocument,73885
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#altMax,72947
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#altMin,72637
http://iflastandards.info/ns/isbd/elements/P1025,71582
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#altMean,71046
http://www.w3.org/2004/02/skos/core#broaderTransitive,68704
http://www.w3.org/2004/02/skos/core#narrowerTransitive,68667
http://purl.org/net7/vocab/scuole/v1#tipoDiScuola,68460
http://purl.org/linked-data/sdmx/2009/dimension#refArea,66860
