Number of unique subjects: 10741,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84]
[49] http://ibl.mdanderson.org/TCGA/R250,376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,376,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,376,0,376,0,0,0
[50] http://ibl.mdanderson.org/TCGA/R251,376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,376,0,376,0,0,0
[51] http://ibl.mdanderson.org/TCGA/R3338,3406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3406,0,0,0,0,3406,0,0,0,3406,0,0,0,0,0,0,0,0,35,35,3406,0,0,0,0,0,0,3406,0,3406,0,0,0
[52] http://ibl.mdanderson.org/TCGA/R3339,5179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,5179,0,0,0,5179,0,0,0,0,0,0,0,0,46,46,5179,0,0,0,0,0,0,5179,0,5179,0,0,0
[53] http://ibl.mdanderson.org/TCGA/R3737,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,20,19,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0
[54] http://ibl.mdanderson.org/TCGA/R3741,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
[55] http://ibl.mdanderson.org/TCGA/R3745,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0
[56] http://ibl.mdanderson.org/TCGA/R3750,641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,641,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,641,0,0,0
[57] http://ibl.mdanderson.org/TCGA/R3755,5179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,5179,0,0,0,0,0,0,0,0,46,46,5179,0,0,0,0,0,0,5179,0,5179,0,0,0
[58] http://ibl.mdanderson.org/TCGA/R3763,641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,641,0,0,0
[59] http://ibl.mdanderson.org/TCGA/R390,376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,376,0,376,0,0,0
