Number of unique subjects: 464880,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40]
[16] http://www.w3.org/2006/03/wn/wn20/schema/adjectivePertainsTo,4711,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4575,4575
[17] http://www.w3.org/2006/03/wn/wn20/schema/adverbPertainsTo,3209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209,3209
[18] http://www.w3.org/2006/03/wn/wn20/schema/antonymOf,3994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,181,0,9,0,0,0,0,0,7,0,24,0,0,0,3914,3914
[19] http://www.w3.org/2006/03/wn/wn20/schema/attribute,648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,10,0,324,0,0,0,324,324,0,0,9,0,0,0,0,0,324,0,0
[20] http://www.w3.org/2006/03/wn/wn20/schema/causes,218,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,12,0,216,0,1,0,216,167,0,0,0,0,18,0,0,0,216,0,0
[21] http://www.w3.org/2006/03/wn/wn20/schema/classifiedByRegion,1280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,47,1226,0,0,0,1226,1148,0,20,136,0,0,0,0,1,1226,0,0
[22] http://www.w3.org/2006/03/wn/wn20/schema/classifiedByTopic,6166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,5961,0,47,0,5961,4813,0,60,230,0,72,0,136,4,5961,0,0
[23] http://www.w3.org/2006/03/wn/wn20/schema/classifiedByUsage,983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,981,0,0,0,981,671,0,3,14,0,1,0,13,4,981,0,0
[24] http://www.w3.org/2006/03/wn/wn20/schema/containsWordSense,203147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,391,0,115424,92634,0,12118,7512,0,778,0,2656,547,115424,0,0
[25] http://www.w3.org/2006/03/wn/wn20/schema/derivationallyRelated,21488,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,16148,16148
[26] http://www.w3.org/2006/03/wn/wn20/schema/entails,409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,391,308,0,0,0,0,40,0,0,0,391,0,0
[27] http://www.w3.org/2006/03/wn/wn20/schema/frame,367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,5,0,0,0,325,325
[28] http://www.w3.org/2006/03/wn/wn20/schema/gloss,115424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92634,0,12118,7512,0,778,0,2656,547,115424,0,0
[29] http://www.w3.org/2006/03/wn/wn20/schema/hyponymOf,94842,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,12118,7512,0,714,0,0,547,92634,0,0
[30] http://www.w3.org/2006/03/wn/wn20/schema/lexicalForm,146212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
[31] http://www.w3.org/2006/03/wn/wn20/schema/memberMeronymOf,12205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,0,0,0,0,3,12118,0,0
[32] http://www.w3.org/2006/03/wn/wn20/schema/partMeronymOf,8636,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,35,7512,0,0
[33] http://www.w3.org/2006/03/wn/wn20/schema/participleOf,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,124,124
[34] http://www.w3.org/2006/03/wn/wn20/schema/sameVerbGroupAs,874,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,778,0,0
[35] http://www.w3.org/2006/03/wn/wn20/schema/seeAlso,590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,326,326
[36] http://www.w3.org/2006/03/wn/wn20/schema/similarTo,11098,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2656,0,0
[37] http://www.w3.org/2006/03/wn/wn20/schema/substanceMeronymOf,787,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,547,0,0
[38] http://www.w3.org/2006/03/wn/wn20/schema/synsetId,115424,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[39] http://www.w3.org/2006/03/wn/wn20/schema/tagCount,203147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203147
[40] http://www.w3.org/2006/03/wn/wn20/schema/word,203147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
