Number of unique subjects: 1787,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85]
[22] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AEnabling_Factor_for_Explotaitation,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,21,0,0,1,0,0,0,0,0,2,20,17,0,0,0,21,1,0,0,0,0,0,0,0,6,0,0,21,0,8,0,0,0,17,0,19,0,0,0,5,0,0,0,9,0,0,1,21,0,21,21,21,0,0,0,21,21,21,1,0,0,0
[23] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AExample,919,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,316,227,107,19,0,31,108,0,110,229,166,146,115,0,108,398,13,15,4,113,0,9,0,0,24,59,1,700,108,417,39,63,4,260,0,169,30,115,0,9,9,1,321,125,0,0,28,686,0,705,705,705,0,0,0,705,705,705,10,0,0,21
[24] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AExposure_Period,1088,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,0,29,0,0,0,0,0,153,400,184,8,0,0,538,23,0,8,21,0,1,0,0,38,0,0,648,0,142,0,0,8,192,0,211,0,8,0,12,13,0,4,277,0,0,30,653,0,657,657,657,0,0,0,657,657,657,4,0,0,5
[25] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AFactor,235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,0,0,0,0,5,0,0,5,0,0,0,0,0,4,1,0,8,0,0,0,0,0,231,0,227,0,0,4,7,0,4,0,5,0,0,0,0,204,0,0,0,0,216,0,235,235,235,0,0,0,235,235,235,0,0,0,9
[26] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AFramework,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,30,108,0,106,108,0,0,108,0,105,105,0,15,0,108,0,0,0,0,0,58,0,108,108,77,38,62,0,108,0,0,30,108,0,0,0,0,107,11,0,0,0,108,0,108,108,108,0,0,0,108,108,108,3,0,0,7
[27] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AFunctional_Area,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,6,27,15,0,0,0,24,3,0,0,4,0,0,0,0,6,0,0,31,0,15,0,0,0,15,0,16,0,0,0,1,5,0,0,24,0,0,4,31,0,31,31,31,0,0,0,31,31,31,1,0,0,0
[28] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AImplemention,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,2,2,2,0,0,0,0
[29] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AIndicator-2DWarning_of_Attack,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,0,32,31,0,0,32,0,33,33,0,15,0,31,0,0,0,0,0,23,0,33,32,24,16,22,0,33,0,0,14,33,0,0,0,0,32,2,0,0,0,33,0,33,33,33,0,0,0,33,33,33,4,0,0,3
[30] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AIntegrity_Impact,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,107,109,0,0,109,0,106,106,0,16,0,109,0,0,0,0,0,59,0,109,109,77,39,63,0,109,0,0,31,109,0,0,0,0,108,12,0,0,0,109,0,109,109,109,0,0,0,109,109,109,4,0,0,7
[31] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AJamaldonado,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[32] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AKnowledge_Level,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,0,0,110,0,108,108,0,16,0,107,0,0,0,0,0,58,0,111,108,75,39,62,0,111,0,0,30,111,0,0,0,0,110,11,0,0,0,111,0,111,111,111,0,0,0,111,111,111,5,0,0,7
[33] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ALanguage,454,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,63,119,0,106,238,8,16,8,114,0,3,0,0,25,59,0,262,109,125,39,63,8,182,0,76,31,119,0,1,2,0,113,59,0,0,22,267,0,271,271,271,0,0,0,271,271,271,4,0,0,10
[34] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ALanguage_Class,425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,0,0,0,336,16,0,0,19,0,0,0,0,32,0,0,424,0,101,0,0,0,122,0,123,0,0,0,12,8,0,0,240,0,0,12,425,0,425,425,425,0,0,0,425,425,425,2,0,0,1
[35] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ALikelihood,241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,181,12,0,0,8,0,0,0,0,28,0,0,187,0,75,0,0,0,185,0,154,0,0,0,9,7,0,0,81,0,0,21,187,0,187,187,187,0,0,0,187,187,187,2,0,0,4
[36] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ALikelihood_of_Exploit,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,109,109,0,16,8,111,0,3,0,0,0,60,0,113,109,82,40,64,8,122,0,8,31,122,0,0,0,0,116,13,0,0,0,118,0,122,122,122,0,0,0,122,122,122,4,0,0,7
[37] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AMITRE,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[38] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AMethod_of_Attack,227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,0,17,0,106,0,0,0,0,0,58,0,110,107,77,38,61,0,110,0,0,31,110,0,0,0,0,109,12,0,0,0,110,0,110,110,110,0,0,0,110,110,110,5,0,0,7
[39] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AMitigation,1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,17,0,124,0,0,0,0,37,58,0,678,107,220,38,61,0,289,0,199,30,131,0,11,13,0,129,248,0,0,29,679,0,679,679,679,0,0,0,679,679,679,9,0,0,12
[40] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AMode_of_Introduction,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,3,0,0,24,0,11,0,0,0,12,0,11,0,0,0,2,2,0,0,15,0,0,3,24,0,24,24,24,0,0,0,24,24,24,1,0,0,0
[41] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AObfuscation_Technique,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,16,0,0,0,0,0,11,0,17,17,10,9,12,0,17,0,0,6,17,0,0,0,0,16,3,0,0,0,17,0,17,17,17,0,0,0,17,17,17,3,0,0,0
[42] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AOperating_Platform,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0,0,4,0,0,8,8,0,8,0,8,0,0,0,0,4,0,0,0,0,4,0,8,8,8,0,0,0,8,8,8,0,0,0,0
[43] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AOperating_System,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,6,59,0,132,109,87,39,63,0,119,0,4,31,111,0,0,0,0,109,31,0,0,0,133,0,133,133,133,0,0,0,133,133,133,4,0,0,7
[44] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AOriginal_URI,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,8,8,8,0,7,0,0
[45] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AOverview,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,15,0,14,0,0,1,5,0,1,0,3,0,0,0,0,11,0,0,0,0,14,0,17,17,17,0,0,0,17,17,17,0,0,0,1
[46] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AOwasp,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[47] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3APblanco,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[48] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3APrevalence,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,40,0,24,0,0,0,28,0,28,0,0,0,9,1,0,0,27,0,0,3,40,0,40,40,40,0,0,0,40,40,40,0,0,0,0
[49] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AProbing_Technique,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,60,59,41,33,52,0,60,0,0,25,60,0,0,0,0,60,10,0,0,0,60,0,60,60,60,0,0,0,60,60,60,2,0,0,4
[50] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3APropertyTest01,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0
[51] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AProvider,1556,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,626,41,64,0,301,0,215,32,316,55,12,17,1,403,318,0,0,31,1341,0,1555,1555,1555,0,0,0,1555,1555,1555,19,0,0,29
[52] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3APurpose,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,40,63,0,110,0,0,32,110,0,0,0,0,109,12,0,0,0,110,0,110,110,110,0,0,0,110,110,110,5,0,0,7
[53] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3AReference,1130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,41,4,159,0,87,17,199,55,10,9,0,315,104,0,0,10,585,0,633,633,633,0,0,0,633,633,633,7,0,0,16
[54] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ARelated_Guideline,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,0,41,0,0,24,41,0,0,0,0,41,10,0,0,0,41,0,41,41,41,0,0,0,41,41,41,3,0,0,3
[55] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ARelated_Security_Principle,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,64,0,0,29,64,0,0,0,0,64,10,0,0,0,64,0,64,64,64,0,0,0,64,64,64,2,0,0,6
[56] http://minsky.gsi.dit.upm.es/semanticwiki/index.php/Special:URIResolver/Property-3ARequired_Resource,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,8,0,8,0,0,0,0,4,0,0,0,0,4,0,8,8,8,0,0,0,8,8,8,0,0,0,0
