Number of unique subjects: 35531,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84]
[23] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AExtension,558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,447,0,0,0,558,0,0,0,0,405,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,437,533,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,558,558,558,0,10
[24] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AFaiblesse_du_Pok-C3-A9mon,447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,447,0,0,0,0,405,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,437,443,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,447,447,447,0,9
[25] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AFamille,1128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,472,21,61,48,49,264,73,10,69,42,1126,1103,0,0,1126,0,0,0,0,496,0,0,127,1,62,110,122,129,147,143,102,2,103,76,1103,0,0,0,0,1126,1126,1126,0,1099
[26] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AG-C3-A9n-C3-A9ration_de_l-27objet,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,97,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,0,22
[27] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AGenre_du_jeu_vid-C3-A9o,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,6
[28] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AIllustrateur_de_la_carte,558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,405,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,437,533,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,558,558,558,0,10
[29] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AJetons_cach-C3-A9s_dans_le_pack,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
[30] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AJetons_dans_le_pack,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
[31] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AJeu_d-27apparition,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,0,22
[32] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ALangue_du_site_internet,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0
[33] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ANiveau_du_Pok-C3-A9mon,405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,402,401,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,405,405,405,0,9
[34] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ANombre_de_joueurs_du_jeu_vid-C3-A9o,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,6
[35] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AObjet_de_la_s-C3-A9rie,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,0,22
[36] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APV_de_la_carte,450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,437,445,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,450,450,450,0,9
[37] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APV_du_jeton,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,38,38,38,0,0
[38] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APack,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,38,38,38,0,0
[39] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APlate-2Dforme_du_jeu_vid-C3-A9o,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,6
[40] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,15,13,0,0,15,0,0,0,0,13,0,0,2,0,0,3,0,2,2,0,3,0,0,3,13,0,0,0,0,15,15,15,0,12
[41] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.0,472,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,472,471,0,0,472,0,0,0,0,228,0,0,76,0,33,54,44,36,59,52,38,0,49,33,471,0,0,0,0,472,472,472,0,467
