Number of unique subjects: 279515,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56]
[11] http://eunis.eea.europa.eu/rdf/species-schema.rdf#notSameSynonymWorMS,20,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,0,0,20,20,20,20,0,20,20,0,20,0
[12] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpecies,12906,-,-,-,-,-,-,-,-,-,-,-,-,-,477,802,443,23,3328,3763,3040,2083,9920,301,5102,3277,796,441,4193,820,6972,281,5864,2954,1291,1797,2179,7141,131,1193,10350,10350,296,10350,10350,10350,0,0,10350,9596,10350,10350,3537,10350,10350,4382,10350,10335
[13] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesEBCC,478,-,-,-,-,-,-,-,-,-,-,-,-,-,-,472,0,0,445,418,464,217,475,80,380,446,467,0,447,0,413,15,464,455,429,24,60,456,0,129,478,478,2,478,478,478,0,0,478,451,478,478,454,478,478,412,478,477
[14] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesEURING,864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,724,653,768,370,817,130,634,727,833,0,702,0,704,18,800,746,487,32,95,725,0,233,857,857,3,857,857,857,0,0,857,761,857,857,494,857,857,493,857,826
[15] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesFIFAO,796,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,85,121,346,56,780,63,590,87,0,774,102,498,596,43,721,339,104,22,82,652,0,700,783,783,57,783,783,783,0,0,783,747,783,783,516,783,783,157,783,765
[16] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesFishBase,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,20,0,24,0,1,1,0,2,16,1,19,1,24,15,19,0,3,19,0,7,24,24,2,24,24,24,0,0,24,24,24,24,20,24,24,1,24,24
[17] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesITIS,5129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3319,1390,1939,5018,217,3942,4899,715,85,2820,32,4156,195,4975,1382,687,1688,1403,4204,13,347,5129,5129,26,5129,5129,5129,0,0,5129,4839,5129,5129,1849,5129,5129,2408,5129,5123
[18] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesNCBI,5241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1402,1885,4768,211,3609,3211,646,121,1411,87,3683,245,4821,1394,708,1774,1766,3554,29,408,5241,5241,31,5241,5241,5241,0,0,5241,4515,5241,5241,2126,5241,5241,3107,5241,5142
[19] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesRedlist,6363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,812,3459,302,2607,1391,749,341,3046,800,5108,96,2624,6058,1563,262,426,4078,44,884,6344,6344,0,6344,6344,6344,0,0,6344,5556,6344,6344,1827,6344,6344,1341,6344,5425
[20] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSpeciesWikiSpecies,2091,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2067,141,1659,1922,362,56,736,10,1690,137,2019,795,390,1271,945,1548,6,223,2091,2091,30,2091,2091,2091,0,0,2091,1892,2091,2091,1142,2091,2091,1477,2091,2088
