Number of unique subjects: 4220712,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64]
[35] http://iflastandards.info/ns/isbd/elements/P1047,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,0,0,0,1,5,0,1,0,0,12,0,0,0,0,0,3,0,10,1,11,0,12,9
[36] http://iflastandards.info/ns/isbd/elements/P1064,50316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,537,2,2522,0,1,1,63,1,338,7283,1080,0,7,30299,2,4175,1213,4,3,16,0,30959,8664,22634,2189,31289,823
[37] http://iflastandards.info/ns/isbd/elements/P1065,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,4,0,0,0,0,0,12,0,9,1,0,12,1,0,0,0,0,0,6,12,10,11,0,12,11
[38] http://iflastandards.info/ns/isbd/elements/P1066,17392,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,994,5339,0,0,57,102,15551,376,564,0,0,16805,0,965,114,23,8,14679,0,16800,563,16422,875,16821,15310
[39] http://iflastandards.info/ns/isbd/elements/P1067,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,5,0,0,0,0,12,0,0,1,0,0,0,0,12,5,11,0,12,0
[40] http://iflastandards.info/ns/isbd/elements/P1068,51345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308,1,0,147,93,35641,570,446,0,10,47655,2,2352,747,299,15,28091,3,47499,4795,45748,8667,48111,37488
[41] http://iflastandards.info/ns/isbd/elements/P1073,42995,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,11,0,38936,299,83,0,1,42960,0,12,7,133,61,30401,0,42630,2200,42811,5940,42968,42508
[42] http://iflastandards.info/ns/isbd/elements/P1075,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,24,1,1,0,0,26,0,0,0,0,0,21,0,24,6,26,3,26,24
[43] http://iflastandards.info/ns/isbd/elements/P1078,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,4,0,0,1,0,0,3,0,7,0,4,1,7,0
[44] http://iflastandards.info/ns/isbd/elements/P1090,1013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,474,25,131,0,2,866,0,107,128,23,0,169,0,1002,320,951,146,1010,199
[45] http://iflastandards.info/ns/isbd/elements/P1091,5535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5270,1,2,0,0,5272,0,2160,36,0,0,5087,0,3786,14,5225,9,5279,5162
[46] http://iflastandards.info/ns/isbd/elements/P1092,1598256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8728,1210,1,9,1593184,1,25261,9680,18716,1003,1031707,6,1562277,120633,1526243,166473,1594716,1340662
[47] http://iflastandards.info/ns/isbd/elements/P1098,20489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,560,0,0,20475,0,1825,214,20,2,495,0,20451,5197,17649,433,20485,9059
[48] http://iflastandards.info/ns/isbd/elements/P1099,6372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,72,3845,0,1183,336,10,0,850,5,6065,1059,4876,790,6251,3685
[49] http://iflastandards.info/ns/isbd/elements/P1100,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,0,0,0,0,0,0,3,1,3,0,3,2
[50] http://iflastandards.info/ns/isbd/elements/P1101,183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181,0,12,7,1,0,8,0,183,1,65,9,183,12
[51] http://iflastandards.info/ns/isbd/elements/P1117,2474351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,39153,18029,21077,1617,1125604,6,2333734,162708,2267046,243747,2378235,1723202
[52] http://iflastandards.info/ns/isbd/elements/P1123,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,11,1,11,0,11,8
[53] http://iflastandards.info/ns/isbd/elements/P1138,40323,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8987,100,7,20028,0,36635,3743,33014,2871,39455,24562
[54] http://iflastandards.info/ns/isbd/elements/P1139,18552,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,30,3301,0,18154,2277,13094,552,18296,4844
[55] http://iflastandards.info/ns/isbd/elements/P1148,21432,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1198,18071,0,20615,582,20348,2635,21104,19787
[56] http://iflastandards.info/ns/isbd/elements/P1149,1640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1218,0,1524,121,1459,345,1617,1314
[57] http://iflastandards.info/ns/isbd/elements/P1154,1161017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1091700,39457,1114638,133229,1126231,1104913
[58] http://iflastandards.info/ns/isbd/elements/P1156,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,5,0,6,5
[59] http://iflastandards.info/ns/isbd/elements/P1185,2345381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160305,2236086,241310,2345116,1685854
[60] http://purl.org/dc/terms/contributor,180534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,139543,36299,163285,91514
[61] http://purl.org/dc/terms/language,3112900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243849,3112897,1719563
[62] http://purl.org/dc/terms/subject,249560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,245162,227750
[63] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3254587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1726325
[64] http://www.w3.org/2004/02/skos/core#notation,2159335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
